Destination,Currency,Subrate,Amount
Cape Verde,EUR,Lunch,-12
Cape Verde,EUR,Dinner,-12
Central African Republic,EUR,Full Day,46
Central African Republic,EUR,Part Day,31
Central African Republic,EUR,Overnight,74
Central African Republic,EUR,Breakfast,-9.2
Central African Republic,EUR,Lunch,-18.4
Central African Republic,EUR,Dinner,-18.4
Chad,EUR,Full Day,64
Chad,EUR,Part Day,43
Chad,EUR,Overnight,163
Chad,EUR,Breakfast,-12.8
Chad,EUR,Lunch,-25.6
Chad,EUR,Dinner,-25.6
Chile,EUR,Full Day,44
Chile,EUR,Part Day,29
Chile,EUR,Overnight,187
Chile,EUR,Breakfast,-8.8
Chile,EUR,Lunch,-17.6
Chile,EUR,Dinner,-17.6
China - Beijing,EUR,Full Day,46
China - Beijing,EUR,Part Day,31
China - Beijing,EUR,Overnight,142
China - Beijing,EUR,Breakfast,-9.2
China - Beijing,EUR,Lunch,-18.4
China - Beijing,EUR,Dinner,-18.4
China - Canton,EUR,Full Day,40
China - Canton,EUR,Part Day,27
China - Canton,EUR,Overnight,113
China - Canton,EUR,Breakfast,-8
China - Canton,EUR,Lunch,-16
China - Canton,EUR,Dinner,-16
China - Chengdu,EUR,Full Day,35
China - Chengdu,EUR,Part Day,24
China - Chengdu,EUR,Overnight,105
China - Chengdu,EUR,Breakfast,-7
China - Chengdu,EUR,Lunch,-14
China - Chengdu,EUR,Dinner,-14
China - Hong Kong,EUR,Full Day,74
China - Hong Kong,EUR,Part Day,49
China - Hong Kong,EUR,Overnight,145
China - Hong Kong,EUR,Breakfast,-14.8
China - Hong Kong,EUR,Lunch,-29.6
China - Hong Kong,EUR,Dinner,-29.6
China - Shanghai,EUR,Full Day,50
China - Shanghai,EUR,Part Day,33
China - Shanghai,EUR,Overnight,128
China - Shanghai,EUR,Breakfast,-10
China - Shanghai,EUR,Lunch,-20
China - Shanghai,EUR,Dinner,-20
China - for the rest,EUR,Full Day,50
China - for the rest,EUR,Part Day,33
China - for the rest,EUR,Overnight,78
China - for the rest,EUR,Breakfast,-10
China - for the rest,EUR,Lunch,-20
China - for the rest,EUR,Dinner,-20
Colombia,EUR,Full Day,41
Colombia,EUR,Part Day,28
Colombia,EUR,Overnight,126
Colombia,EUR,Breakfast,-8.2
Colombia,EUR,Lunch,-16.4
Colombia,EUR,Dinner,-16.4
"Congo, Democratic Republic",EUR,Full Day,68
"Congo, Democratic Republic",EUR,Part Day,45
"Congo, Democratic Republic",EUR,Overnight,171
"Congo, Democratic Republic",EUR,Breakfast,-13.6
"Congo, Democratic Republic",EUR,Lunch,-27.2
"Congo, Democratic Republic",EUR,Dinner,-27.2
"Congo, Republic",EUR,Full Day,50
"Congo, Republic",EUR,Part Day,33
"Congo, Republic",EUR,Overnight,200
"Congo, Republic",EUR,Breakfast,-10
"Congo, Republic",EUR,Lunch,-20
"Congo, Republic",EUR,Dinner,-20
Costa Rica,EUR,Full Day,47
Costa Rica,EUR,Part Day,32
Costa Rica,EUR,Overnight,93
Costa Rica,EUR,Breakfast,-9.4
Costa Rica,EUR,Lunch,-18.8
Costa Rica,EUR,Dinner,-18.8
Côte d’Ivoire,EUR,Full Day,51
Côte d’Ivoire,EUR,Part Day,34
Côte d’Ivoire,EUR,Overnight,146
Côte d’Ivoire,EUR,Breakfast,-10.2
Côte d’Ivoire,EUR,Lunch,-20.4
Côte d’Ivoire,EUR,Dinner,-20.4
Croatia,EUR,Full Day,28
Croatia,EUR,Part Day,19
Croatia,EUR,Overnight,75
Croatia,EUR,Breakfast,-5.6
Croatia,EUR,Lunch,-11.2
Croatia,EUR,Dinner,-11.2
Cuba,EUR,Full Day,46
Cuba,EUR,Part Day,31
Cuba,EUR,Overnight,228
Cuba,EUR,Breakfast,-9.2
Cuba,EUR,Lunch,-18.4
Cuba,EUR,Dinner,-18.4
Cyprus,EUR,Full Day,45
Cyprus,EUR,Part Day,30
Cyprus,EUR,Overnight,116
Cyprus,EUR,Breakfast,-9
Cyprus,EUR,Lunch,-18
Cyprus,EUR,Dinner,-18
Czech Republic,EUR,Full Day,35
Czech Republic,EUR,Part Day,24
Czech Republic,EUR,Overnight,94
Czech Republic,EUR,Breakfast,-7
Czech Republic,EUR,Lunch,-14
Czech Republic,EUR,Dinner,-14
Denmark,EUR,Full Day,58
Denmark,EUR,Part Day,39
Denmark,EUR,Overnight,143
Denmark,EUR,Breakfast,-11.6
Denmark,EUR,Lunch,-23.2
Denmark,EUR,Dinner,-23.2
Djibouti,EUR,Full Day,65
Djibouti,EUR,Part Day,44
Djibouti,EUR,Overnight,305
Djibouti,EUR,Breakfast,-13
Djibouti,EUR,Lunch,-26
Djibouti,EUR,Dinner,-26
Dominica,EUR,Full Day,45
Dominica,EUR,Part Day,30
Dominica,EUR,Overnight,177
Dominica,EUR,Breakfast,-9
Dominica,EUR,Lunch,-18
Dominica,EUR,Dinner,-18
Dominican Republic,EUR,Full Day,45
Dominican Republic,EUR,Part Day,30
Dominican Republic,EUR,Overnight,147
Dominican Republic,EUR,Breakfast,-9
Dominican Republic,EUR,Lunch,-18
Dominican Republic,EUR,Dinner,-18
Ecuador,EUR,Full Day,44
Ecuador,EUR,Part Day,29
Ecuador,EUR,Overnight,97
Ecuador,EUR,Breakfast,-8.8
Ecuador,EUR,Lunch,-17.6
Ecuador,EUR,Dinner,-17.6
Egypt,EUR,Full Day,41
Egypt,EUR,Part Day,28
Egypt,EUR,Overnight,125
Egypt,EUR,Breakfast,-8.2
Egypt,EUR,Lunch,-16.4
Egypt,EUR,Dinner,-16.4
El Salvador,EUR,Full Day,44
El Salvador,EUR,Part Day,29
El Salvador,EUR,Overnight,119
El Salvador,EUR,Breakfast,-8.8
El Salvador,EUR,Lunch,-17.6
El Salvador,EUR,Dinner,-17.6
Equatorial Guinea,EUR,Full Day,36
Equatorial Guinea,EUR,Part Day,24
Equatorial Guinea,EUR,Overnight,166
Equatorial Guinea,EUR,Breakfast,-7.2
Equatorial Guinea,EUR,Lunch,-14.4
Equatorial Guinea,EUR,Dinner,-14.4
Eritrea,EUR,Full Day,50
Eritrea,EUR,Part Day,33
Eritrea,EUR,Overnight,91
Eritrea,EUR,Breakfast,-10
Eritrea,EUR,Lunch,-20
Eritrea,EUR,Dinner,-20
Estonia,EUR,Full Day,27
Estonia,EUR,Part Day,18
Estonia,EUR,Overnight,71
Estonia,EUR,Breakfast,-5.4
Estonia,EUR,Lunch,-10.8
Estonia,EUR,Dinner,-10.8
Ethiopia,EUR,Full Day,27
Ethiopia,EUR,Part Day,18
Ethiopia,EUR,Overnight,86
Ethiopia,EUR,Breakfast,-5.4
Ethiopia,EUR,Lunch,-10.8
Ethiopia,EUR,Dinner,-10.8
Fiji,EUR,Full Day,34
Fiji,EUR,Part Day,23
Fiji,EUR,Overnight,69
Fiji,EUR,Breakfast,-6.8
Fiji,EUR,Lunch,-13.6
Fiji,EUR,Dinner,-13.6
Finland,EUR,Full Day,50
Finland,EUR,Part Day,33
Finland,EUR,Overnight,136
Finland,EUR,Breakfast,-10
Finland,EUR,Lunch,-20
Finland,EUR,Dinner,-20
France - Lyon,EUR,Full Day,53
France - Lyon,EUR,Part Day,36
France - Lyon,EUR,Overnight,115
France - Lyon,EUR,Breakfast,-10.6
France - Lyon,EUR,Lunch,-21.2
France - Lyon,EUR,Dinner,-21.2
France - Marseille,EUR,Full Day,46
France - Marseille,EUR,Part Day,31
France - Marseille,EUR,Overnight,101
France - Marseille,EUR,Breakfast,-9.2
France - Marseille,EUR,Lunch,-18.4
France - Marseille,EUR,Dinner,-18.4
"France - Paris and Departments 92, 93 and 94",EUR,Full Day,58
"France - Paris and Departments 92, 93 and 94",EUR,Part Day,39
"France - Paris and Departments 92, 93 and 94",EUR,Overnight,152
"France - Paris and Departments 92, 93 and 94",EUR,Breakfast,-11.6
"France - Paris and Departments 92, 93 and 94",EUR,Lunch,-23.2
"France - Paris and Departments 92, 93 and 94",EUR,Dinner,-23.2
France - Strasbourg,EUR,Full Day,51
France - Strasbourg,EUR,Part Day,34
France - Strasbourg,EUR,Overnight,96
France - Strasbourg,EUR,Breakfast,-10.2
France - Strasbourg,EUR,Lunch,-20.4
France - Strasbourg,EUR,Dinner,-20.4
France - for the rest,EUR,Full Day,44
France - for the rest,EUR,Part Day,29
France - for the rest,EUR,Overnight,115
France - for the rest,EUR,Breakfast,-8.8
France - for the rest,EUR,Lunch,-17.6
France - for the rest,EUR,Dinner,-17.6
Gabon,EUR,Full Day,62
Gabon,EUR,Part Day,41
Gabon,EUR,Overnight,278
Gabon,EUR,Breakfast,-12.4
Gabon,EUR,Lunch,-24.8
Gabon,EUR,Dinner,-24.8
Gambia,EUR,Full Day,30
Gambia,EUR,Part Day,20
Gambia,EUR,Overnight,125
Gambia,EUR,Breakfast,-6
Gambia,EUR,Lunch,-12
Gambia,EUR,Dinner,-12
Georgia,EUR,Full Day,35
Georgia,EUR,Part Day,24
Georgia,EUR,Overnight,88
Georgia,EUR,Breakfast,-7
Georgia,EUR,Lunch,-14
Georgia,EUR,Dinner,-14
Ghana,EUR,Full Day,46
Ghana,EUR,Part Day,31
Ghana,EUR,Overnight,148
Ghana,EUR,Breakfast,-9.2
Ghana,EUR,Lunch,-18.4
Ghana,EUR,Dinner,-18.4
Greece - Athens,EUR,Full Day,46
Greece - Athens,EUR,Part Day,31
Greece - Athens,EUR,Overnight,132
Greece - Athens,EUR,Breakfast,-9.2
Greece - Athens,EUR,Lunch,-18.4
Greece - Athens,EUR,Dinner,-18.4
Greece - for the rest,EUR,Full Day,36
Greece - for the rest,EUR,Part Day,24
Greece - for the rest,EUR,Overnight,135
Greece - for the rest,EUR,Breakfast,-7.2
Greece - for the rest,EUR,Lunch,-14.4
Greece - for the rest,EUR,Dinner,-14.4
Grenada,EUR,Full Day,45
Grenada,EUR,Part Day,30
Grenada,EUR,Overnight,177
Grenada,EUR,Breakfast,-9
Grenada,EUR,Lunch,-18
Grenada,EUR,Dinner,-18
Guatemala,EUR,Full Day,34
Guatemala,EUR,Part Day,23
Guatemala,EUR,Overnight,90
Guatemala,EUR,Breakfast,-6.8
Guatemala,EUR,Lunch,-13.6
Guatemala,EUR,Dinner,-13.6
Guinea,EUR,Full Day,46
Guinea,EUR,Part Day,31
Guinea,EUR,Overnight,118
Guinea,EUR,Breakfast,-9.2
Guinea,EUR,Lunch,-18.4
Guinea,EUR,Dinner,-18.4
Guinea-Bissau,EUR,Full Day,24
Guinea-Bissau,EUR,Part Day,16
Guinea-Bissau,EUR,Overnight,86
Guinea-Bissau,EUR,Breakfast,-4.8
Guinea-Bissau,EUR,Lunch,-9.6
Guinea-Bissau,EUR,Dinner,-9.6
Guyana,EUR,Full Day,45
Guyana,EUR,Part Day,30
Guyana,EUR,Overnight,177
Guyana,EUR,Breakfast,-9
Guyana,EUR,Lunch,-18
Guyana,EUR,Dinner,-18
Haiti,EUR,Full Day,58
Haiti,EUR,Part Day,39
Haiti,EUR,Overnight,130
Haiti,EUR,Breakfast,-11.6
Haiti,EUR,Lunch,-23.2
Haiti,EUR,Dinner,-23.2
Honduras,EUR,Full Day,48
Honduras,EUR,Part Day,32
Honduras,EUR,Overnight,101
Honduras,EUR,Breakfast,-9.6
Honduras,EUR,Lunch,-19.2
Honduras,EUR,Dinner,-19.2
Hungary,EUR,Full Day,22
Hungary,EUR,Part Day,15
Hungary,EUR,Overnight,63
Hungary,EUR,Breakfast,-4.4
Hungary,EUR,Lunch,-8.8
Hungary,EUR,Dinner,-8.8
Iceland,EUR,Full Day,47
Iceland,EUR,Part Day,32
Iceland,EUR,Overnight,108
Iceland,EUR,Breakfast,-9.4
Iceland,EUR,Lunch,-18.8
Iceland,EUR,Dinner,-18.8
India - Chennai,EUR,Full Day,32
India - Chennai,EUR,Part Day,21
India - Chennai,EUR,Overnight,85
India - Chennai,EUR,Breakfast,-6.4
India - Chennai,EUR,Lunch,-12.8
India - Chennai,EUR,Dinner,-12.8
India - Kolkata,EUR,Full Day,35
India - Kolkata,EUR,Part Day,24
India - Kolkata,EUR,Overnight,145
India - Kolkata,EUR,Breakfast,-7
India - Kolkata,EUR,Lunch,-14
India - Kolkata,EUR,Dinner,-14
India - Mumbai,EUR,Full Day,50
India - Mumbai,EUR,Part Day,33
India - Mumbai,EUR,Overnight,146
India - Mumbai,EUR,Breakfast,-10
India - Mumbai,EUR,Lunch,-20
India - Mumbai,EUR,Dinner,-20
India - New Delhi,EUR,Full Day,38
India - New Delhi,EUR,Part Day,25
India - New Delhi,EUR,Overnight,185
India - New Delhi,EUR,Breakfast,-7.6
India - New Delhi,EUR,Lunch,-15.2
India - New Delhi,EUR,Dinner,-15.2
India - for the rest,EUR,Full Day,32
India - for the rest,EUR,Part Day,21
India - for the rest,EUR,Overnight,85
India - for the rest,EUR,Breakfast,-6.4
India - for the rest,EUR,Lunch,-12.8
India - for the rest,EUR,Dinner,-12.8
Indonesia,EUR,Full Day,38
Indonesia,EUR,Part Day,25
Indonesia,EUR,Overnight,130
Indonesia,EUR,Breakfast,-7.6
Indonesia,EUR,Lunch,-15.2
Indonesia,EUR,Dinner,-15.2
Iran,EUR,Full Day,33
Iran,EUR,Part Day,22
Iran,EUR,Overnight,196
Iran,EUR,Breakfast,-6.6
Iran,EUR,Lunch,-13.2
Iran,EUR,Dinner,-13.2
Ireland,EUR,Full Day,44
Ireland,EUR,Part Day,29
Ireland,EUR,Overnight,92
Ireland,EUR,Breakfast,-8.8
Ireland,EUR,Lunch,-17.6
Ireland,EUR,Dinner,-17.6
Israel,EUR,Full Day,56
Israel,EUR,Part Day,37
Israel,EUR,Overnight,191
Israel,EUR,Breakfast,-11.2
Israel,EUR,Lunch,-22.4
Israel,EUR,Dinner,-22.4
Italy - Milan,EUR,Full Day,45
Italy - Milan,EUR,Part Day,30
Italy - Milan,EUR,Overnight,158
Italy - Milan,EUR,Breakfast,-9
Italy - Milan,EUR,Lunch,-18
Italy - Milan,EUR,Dinner,-18
Italy - Rome,EUR,Full Day,40
Italy - Rome,EUR,Part Day,27
Italy - Rome,EUR,Overnight,135
Italy - Rome,EUR,Breakfast,-8
Italy - Rome,EUR,Lunch,-16
Italy - Rome,EUR,Dinner,-16
Italy - for the rest,EUR,Full Day,40
Italy - for the rest,EUR,Part Day,27
Italy - for the rest,EUR,Overnight,135
Italy - for the rest,EUR,Breakfast,-8
Italy - for the rest,EUR,Lunch,-16
Italy - for the rest,EUR,Dinner,-16
Jamaica,EUR,Full Day,57
Jamaica,EUR,Part Day,38
Jamaica,EUR,Overnight,138
Jamaica,EUR,Breakfast,-11.4
Jamaica,EUR,Lunch,-22.8
Jamaica,EUR,Dinner,-22.8
Japan - Tokyo,EUR,Full Day,66
Japan - Tokyo,EUR,Part Day,44
Japan - Tokyo,EUR,Overnight,233
Japan - Tokyo,EUR,Breakfast,-13.2
Japan - Tokyo,EUR,Lunch,-26.4
Japan - Tokyo,EUR,Dinner,-26.4
Japan - for the rest,EUR,Full Day,51
Japan - for the rest,EUR,Part Day,34
Japan - for the rest,EUR,Overnight,156
Japan - for the rest,EUR,Breakfast,-10.2
Japan - for the rest,EUR,Lunch,-20.4
Japan - for the rest,EUR,Dinner,-20.4
Jordan,EUR,Full Day,46
Jordan,EUR,Part Day,31
Jordan,EUR,Overnight,126
Jordan,EUR,Breakfast,-9.2
Jordan,EUR,Lunch,-18.4
Jordan,EUR,Dinner,-18.4
Kazakhstan,EUR,Full Day,45
Kazakhstan,EUR,Part Day,30
Kazakhstan,EUR,Overnight,111
Kazakhstan,EUR,Breakfast,-9
Kazakhstan,EUR,Lunch,-18
Kazakhstan,EUR,Dinner,-18
Kenya,EUR,Full Day,42
Kenya,EUR,Part Day,28
Kenya,EUR,Overnight,223
Kenya,EUR,Breakfast,-8.4
Kenya,EUR,Lunch,-16.8
Kenya,EUR,Dinner,-16.8
"Korea, Democratic People's Republic",EUR,Full Day,39
"Korea, Democratic People's Republic",EUR,Part Day,26
"Korea, Democratic People's Republic",EUR,Overnight,132
"Korea, Democratic People's Republic",EUR,Breakfast,-7.8
"Korea, Democratic People's Republic",EUR,Lunch,-15.6
"Korea, Democratic People's Republic",EUR,Dinner,-15.6
"Korea, People's Republic",EUR,Full Day,58
"Korea, People's Republic",EUR,Part Day,39
"Korea, People's Republic",EUR,Overnight,112
"Korea, People's Republic",EUR,Breakfast,-11.6
"Korea, People's Republic",EUR,Lunch,-23.2
"Korea, People's Republic",EUR,Dinner,-23.2
Kosovo,EUR,Full Day,23
Kosovo,EUR,Part Day,16
Kosovo,EUR,Overnight,57
Kosovo,EUR,Breakfast,-4.6
Kosovo,EUR,Lunch,-9.2
Kosovo,EUR,Dinner,-9.2
Kuwait,EUR,Full Day,42
Kuwait,EUR,Part Day,28
Kuwait,EUR,Overnight,185
Kuwait,EUR,Breakfast,-8.4
Kuwait,EUR,Lunch,-16.8
Kuwait,EUR,Dinner,-16.8
Kyrgyzstan,EUR,Full Day,29
Kyrgyzstan,EUR,Part Day,20
Kyrgyzstan,EUR,Overnight,91
Kyrgyzstan,EUR,Breakfast,-5.8
Kyrgyzstan,EUR,Lunch,-11.6
Kyrgyzstan,EUR,Dinner,-11.6
Laos,EUR,Full Day,33
Laos,EUR,Part Day,22
Laos,EUR,Overnight,96
Laos,EUR,Breakfast,-6.6
Laos,EUR,Lunch,-13.2
Laos,EUR,Dinner,-13.2
Latvia,EUR,Full Day,30
Latvia,EUR,Part Day,20
Latvia,EUR,Overnight,80
Latvia,EUR,Breakfast,-6
Latvia,EUR,Lunch,-12
Latvia,EUR,Dinner,-12
Lebanon,EUR,Full Day,59
Lebanon,EUR,Part Day,40
Lebanon,EUR,Overnight,123
Lebanon,EUR,Breakfast,-11.8
Lebanon,EUR,Lunch,-23.6
Lebanon,EUR,Dinner,-23.6
Lesotho,EUR,Full Day,24
Lesotho,EUR,Part Day,16
Lesotho,EUR,Overnight,103
Lesotho,EUR,Breakfast,-4.8
Lesotho,EUR,Lunch,-9.6
Lesotho,EUR,Dinner,-9.6
Libya,EUR,Full Day,63
Libya,EUR,Part Day,42
Libya,EUR,Overnight,135
Libya,EUR,Breakfast,-12.6
Libya,EUR,Lunch,-25.2
Libya,EUR,Dinner,-25.2
Liechtenstein,EUR,Full Day,53
Liechtenstein,EUR,Part Day,36
Liechtenstein,EUR,Overnight,180
Liechtenstein,EUR,Breakfast,-10.6
Liechtenstein,EUR,Lunch,-21.2
Liechtenstein,EUR,Dinner,-21.2
Lithuania,EUR,Full Day,24
Lithuania,EUR,Part Day,16
Lithuania,EUR,Overnight,68
Lithuania,EUR,Breakfast,-4.8
Lithuania,EUR,Lunch,-9.6
Lithuania,EUR,Dinner,-9.6
Luxembourg,EUR,Full Day,47
Luxembourg,EUR,Part Day,32
Luxembourg,EUR,Overnight,130
Luxembourg,EUR,Breakfast,-9.4
Luxembourg,EUR,Lunch,-18.8
Luxembourg,EUR,Dinner,-18.8
Macedonia,EUR,Full Day,29
Macedonia,EUR,Part Day,20
Macedonia,EUR,Overnight,95
Macedonia,EUR,Breakfast,-5.8
Macedonia,EUR,Lunch,-11.6
Macedonia,EUR,Dinner,-11.6
Madagascar,EUR,Full Day,34
