Destination,Currency,Subrate,Amount
Bahrain (2019),SEK,Breakfast,-99.15
Bahrain (2019),SEK,Lunch,-231.35
Bahrain (2019),SEK,Dinner,-231.35
Bahrain (2020),SEK,Normalbelopp,696
Bahrain (2020),SEK,Breakfast,-104.4
Bahrain (2020),SEK,Lunch,-243.6
Bahrain (2020),SEK,Dinner,-243.6
Bangladesh (2018),SEK,Normalbelopp,389
Bangladesh (2018),SEK,Breakfast,-58.35
Bangladesh (2018),SEK,Lunch,-136.15
Bangladesh (2018),SEK,Dinner,-136.15
Bangladesh (2019),SEK,Normalbelopp,429
Bangladesh (2019),SEK,Breakfast,-64.35
Bangladesh (2019),SEK,Lunch,-150.15
Bangladesh (2019),SEK,Dinner,-150.15
Bangladesh (2020),SEK,Normalbelopp,457
Bangladesh (2020),SEK,Breakfast,-68.55
Bangladesh (2020),SEK,Lunch,-159.95
Bangladesh (2020),SEK,Dinner,-159.95
Barbados (2018),SEK,Normalbelopp,738
Barbados (2018),SEK,Breakfast,-110.7
Barbados (2018),SEK,Lunch,-258.3
Barbados (2018),SEK,Dinner,-258.3
Barbados (2019),SEK,Normalbelopp,818
Barbados (2019),SEK,Breakfast,-122.7
Barbados (2019),SEK,Lunch,-286.3
Barbados (2019),SEK,Dinner,-286.3
Barbados (2020),SEK,Normalbelopp,893
Barbados (2020),SEK,Breakfast,-133.95
Barbados (2020),SEK,Lunch,-312.55
Barbados (2020),SEK,Dinner,-312.55
Belgien (2018),SEK,Normalbelopp,678
Belgien (2018),SEK,Breakfast,-101.7
Belgien (2018),SEK,Lunch,-237.3
Belgien (2018),SEK,Dinner,-237.3
Belgien (2019),SEK,Normalbelopp,723
Belgien (2019),SEK,Breakfast,-108.45
Belgien (2019),SEK,Lunch,-253.05
Belgien (2019),SEK,Dinner,-253.05
Belgien (2020),SEK,Normalbelopp,756
Belgien (2020),SEK,Breakfast,-113.4
Belgien (2020),SEK,Lunch,-264.6
Belgien (2020),SEK,Dinner,-264.6
Belize (2018),SEK,Normalbelopp,453
Belize (2018),SEK,Breakfast,-67.95
Belize (2018),SEK,Lunch,-158.55
Belize (2018),SEK,Dinner,-158.55
Belize (2019),SEK,Normalbelopp,485
Belize (2019),SEK,Breakfast,-72.75
Belize (2019),SEK,Lunch,-169.75
Belize (2019),SEK,Dinner,-169.75
Belize (2020),SEK,Normalbelopp,524
Belize (2020),SEK,Breakfast,-78.6
Belize (2020),SEK,Lunch,-183.4
Belize (2020),SEK,Dinner,-183.4
Benin (2018),SEK,Normalbelopp,471
Benin (2018),SEK,Breakfast,-70.65
Benin (2018),SEK,Lunch,-164.85
Benin (2018),SEK,Dinner,-164.85
Benin (2019),SEK,Normalbelopp,507
Benin (2019),SEK,Breakfast,-76.05
Benin (2019),SEK,Lunch,-177.45
Benin (2019),SEK,Dinner,-177.45
Benin (2020),SEK,Normalbelopp,523
Benin (2020),SEK,Breakfast,-78.45
Benin (2020),SEK,Lunch,-183.05
Benin (2020),SEK,Dinner,-183.05
Bolivia (2018),SEK,Normalbelopp,280
Bolivia (2018),SEK,Breakfast,-42
Bolivia (2018),SEK,Lunch,-98
Bolivia (2018),SEK,Dinner,-98
Bolivia (2019),SEK,Normalbelopp,322
Bolivia (2019),SEK,Breakfast,-48.3
Bolivia (2019),SEK,Lunch,-112.7
Bolivia (2019),SEK,Dinner,-112.7
Bolivia (2020),SEK,Normalbelopp,363
Bolivia (2020),SEK,Breakfast,-54.45
Bolivia (2020),SEK,Lunch,-127.05
Bolivia (2020),SEK,Dinner,-127.05
Bosnien-Hercegovina (2018),SEK,Normalbelopp,323
Bosnien-Hercegovina (2018),SEK,Breakfast,-48.45
Bosnien-Hercegovina (2018),SEK,Lunch,-113.05
Bosnien-Hercegovina (2018),SEK,Dinner,-113.05
Bosnien-Hercegovina (2019),SEK,Normalbelopp,352
Bosnien-Hercegovina (2019),SEK,Breakfast,-52.8
Bosnien-Hercegovina (2019),SEK,Lunch,-123.2
Bosnien-Hercegovina (2019),SEK,Dinner,-123.2
Bosnien-Hercegovina (2020),SEK,Normalbelopp,357
Bosnien-Hercegovina (2020),SEK,Breakfast,-53.55
Bosnien-Hercegovina (2020),SEK,Lunch,-124.95
Bosnien-Hercegovina (2020),SEK,Dinner,-124.95
Botswana (2018),SEK,Normalbelopp,259
Botswana (2018),SEK,Breakfast,-38.85
Botswana (2018),SEK,Lunch,-90.65
Botswana (2018),SEK,Dinner,-90.65
Botswana (2019),SEK,Normalbelopp,301
Botswana (2019),SEK,Breakfast,-45.15
Botswana (2019),SEK,Lunch,-105.35
Botswana (2019),SEK,Dinner,-105.35
Botswana (2020),SEK,Normalbelopp,357
Botswana (2020),SEK,Breakfast,-53.55
Botswana (2020),SEK,Lunch,-124.95
Botswana (2020),SEK,Dinner,-124.95
Brasilien (2018),SEK,Normalbelopp,419
Brasilien (2018),SEK,Breakfast,-62.85
Brasilien (2018),SEK,Lunch,-146.65
Brasilien (2018),SEK,Dinner,-146.65
Brasilien (2019),SEK,Normalbelopp,411
Brasilien (2019),SEK,Breakfast,-61.65
Brasilien (2019),SEK,Lunch,-143.85
Brasilien (2019),SEK,Dinner,-143.85
Brasilien (2020),SEK,Normalbelopp,424
Brasilien (2020),SEK,Breakfast,-63.6
Brasilien (2020),SEK,Lunch,-148.4
Brasilien (2020),SEK,Dinner,-148.4
Brunei Darussalam (2018),SEK,Normalbelopp,366
Brunei Darussalam (2018),SEK,Breakfast,-54.9
Brunei Darussalam (2018),SEK,Lunch,-128.1
Brunei Darussalam (2018),SEK,Dinner,-128.1
Brunei Darussalam (2019),SEK,Normalbelopp,426
Brunei Darussalam (2019),SEK,Breakfast,-63.9
Brunei Darussalam (2019),SEK,Lunch,-149.1
Brunei Darussalam (2019),SEK,Dinner,-149.1
Brunei Darussalam (2020),SEK,Normalbelopp,470
Brunei Darussalam (2020),SEK,Breakfast,-70.5
Brunei Darussalam (2020),SEK,Lunch,-164.5
Brunei Darussalam (2020),SEK,Dinner,-164.5
Bulgarien (2018),SEK,Normalbelopp,347
Bulgarien (2018),SEK,Breakfast,-52.05
Bulgarien (2018),SEK,Lunch,-121.45
Bulgarien (2018),SEK,Dinner,-121.45
Bulgarien (2019),SEK,Normalbelopp,365
Bulgarien (2019),SEK,Breakfast,-54.75
Bulgarien (2019),SEK,Lunch,-127.75
Bulgarien (2019),SEK,Dinner,-127.75
Bulgarien (2020),SEK,Normalbelopp,375
Bulgarien (2020),SEK,Breakfast,-56.25
Bulgarien (2020),SEK,Lunch,-131.25
Bulgarien (2020),SEK,Dinner,-131.25
Burkina Faso (2018),SEK,Normalbelopp,400
Burkina Faso (2018),SEK,Breakfast,-60
Burkina Faso (2018),SEK,Lunch,-140
Burkina Faso (2018),SEK,Dinner,-140
Burkina Faso (2019),SEK,Normalbelopp,411
Burkina Faso (2019),SEK,Breakfast,-61.65
Burkina Faso (2019),SEK,Lunch,-143.85
Burkina Faso (2019),SEK,Dinner,-143.85
Burkina Faso (2020),SEK,Normalbelopp,419
Burkina Faso (2020),SEK,Breakfast,-62.85
Burkina Faso (2020),SEK,Lunch,-146.65
Burkina Faso (2020),SEK,Dinner,-146.65
Burma (2018),SEK,Normalbelopp,315
Burma (2018),SEK,Breakfast,-47.25
Burma (2018),SEK,Lunch,-110.25
Burma (2018),SEK,Dinner,-110.25
Burma (2019),SEK,Normalbelopp,286
Burma (2019),SEK,Breakfast,-42.9
Burma (2019),SEK,Lunch,-100.1
Burma (2019),SEK,Dinner,-100.1
Burma (2020),SEK,Normalbelopp,318
Burma (2020),SEK,Breakfast,-47.7
Burma (2020),SEK,Lunch,-111.3
Burma (2020),SEK,Dinner,-111.3
Centralafrikanska republiken (2018),SEK,Normalbelopp,393
Centralafrikanska republiken (2018),SEK,Breakfast,-58.95
Centralafrikanska republiken (2018),SEK,Lunch,-137.55
Centralafrikanska republiken (2018),SEK,Dinner,-137.55
Centralafrikanska republiken (2019),SEK,Normalbelopp,436
Centralafrikanska republiken (2019),SEK,Breakfast,-65.4
Centralafrikanska republiken (2019),SEK,Lunch,-152.6
Centralafrikanska republiken (2019),SEK,Dinner,-152.6
Centralafrikanska republiken (2020),SEK,Normalbelopp,463
Centralafrikanska republiken (2020),SEK,Breakfast,-69.45
Centralafrikanska republiken (2020),SEK,Lunch,-162.05
Centralafrikanska republiken (2020),SEK,Dinner,-162.05
Chile (2018),SEK,Normalbelopp,424
Chile (2018),SEK,Breakfast,-63.6
Chile (2018),SEK,Lunch,-148.4
Chile (2018),SEK,Dinner,-148.4
Chile (2019),SEK,Normalbelopp,422
Chile (2019),SEK,Breakfast,-63.3
Chile (2019),SEK,Lunch,-147.7
Chile (2019),SEK,Dinner,-147.7
Chile (2020),SEK,Normalbelopp,436
Chile (2020),SEK,Breakfast,-65.4
Chile (2020),SEK,Lunch,-152.6
Chile (2020),SEK,Dinner,-152.6
Colombia (2018),SEK,Normalbelopp,329
Colombia (2018),SEK,Breakfast,-49.35
Colombia (2018),SEK,Lunch,-115.15
Colombia (2018),SEK,Dinner,-115.15
Colombia (2019),SEK,Normalbelopp,345
Colombia (2019),SEK,Breakfast,-51.75
Colombia (2019),SEK,Lunch,-120.75
Colombia (2019),SEK,Dinner,-120.75
Colombia (2020),SEK,Normalbelopp,345
Colombia (2020),SEK,Breakfast,-51.75
Colombia (2020),SEK,Lunch,-120.75
Colombia (2020),SEK,Dinner,-120.75
Costa Rica (2018),SEK,Normalbelopp,445
Costa Rica (2018),SEK,Breakfast,-66.75
Costa Rica (2018),SEK,Lunch,-155.75
Costa Rica (2018),SEK,Dinner,-155.75
Costa Rica (2019),SEK,Normalbelopp,464
Costa Rica (2019),SEK,Breakfast,-69.6
Costa Rica (2019),SEK,Lunch,-162.4
Costa Rica (2019),SEK,Dinner,-162.4
Costa Rica (2020),SEK,Normalbelopp,534
Costa Rica (2020),SEK,Breakfast,-80.1
Costa Rica (2020),SEK,Lunch,-186.9
Costa Rica (2020),SEK,Dinner,-186.9
Cypern (2018),SEK,Normalbelopp,543
Cypern (2018),SEK,Breakfast,-81.45
Cypern (2018),SEK,Lunch,-190.05
Cypern (2018),SEK,Dinner,-190.05
Cypern (2019),SEK,Normalbelopp,505
Cypern (2019),SEK,Breakfast,-75.75
Cypern (2019),SEK,Lunch,-176.75
Cypern (2019),SEK,Dinner,-176.75
Cypern (2020),SEK,Normalbelopp,605
Cypern (2020),SEK,Breakfast,-90.75
Cypern (2020),SEK,Lunch,-211.75
Cypern (2020),SEK,Dinner,-211.75
Danmark (2018),SEK,Normalbelopp,915
Danmark (2018),SEK,Breakfast,-137.25
Danmark (2018),SEK,Lunch,-320.25
Danmark (2018),SEK,Dinner,-320.25
Danmark (2019),SEK,Normalbelopp,993
Danmark (2019),SEK,Breakfast,-148.95
Danmark (2019),SEK,Lunch,-347.55
Danmark (2019),SEK,Dinner,-347.55
Danmark (2020),SEK,Normalbelopp,1016
Danmark (2020),SEK,Breakfast,-152.4
Danmark (2020),SEK,Lunch,-355.6
Danmark (2020),SEK,Dinner,-355.6
Djibouti (2018),SEK,Normalbelopp,480
Djibouti (2018),SEK,Breakfast,-72
Djibouti (2018),SEK,Lunch,-168
Djibouti (2018),SEK,Dinner,-168
Djibouti (2019),SEK,Normalbelopp,529
Djibouti (2019),SEK,Breakfast,-79.35
Djibouti (2019),SEK,Lunch,-185.15
Djibouti (2019),SEK,Dinner,-185.15
Djibouti (2020),SEK,Normalbelopp,561
Djibouti (2020),SEK,Breakfast,-84.15
Djibouti (2020),SEK,Lunch,-196.35
Djibouti (2020),SEK,Dinner,-196.35
Ecuador (2018),SEK,Normalbelopp,512
Ecuador (2018),SEK,Breakfast,-76.8
Ecuador (2018),SEK,Lunch,-179.2
Ecuador (2018),SEK,Dinner,-179.2
Ecuador (2019),SEK,Normalbelopp,562
Ecuador (2019),SEK,Breakfast,-84.3
Ecuador (2019),SEK,Lunch,-196.7
Ecuador (2019),SEK,Dinner,-196.7
Ecuador (2020),SEK,Normalbelopp,592
Ecuador (2020),SEK,Breakfast,-88.8
Ecuador (2020),SEK,Lunch,-207.2
Ecuador (2020),SEK,Dinner,-207.2
Egypten (2018),SEK,Normalbelopp,230
Egypten (2018),SEK,Breakfast,-34.5
Egypten (2018),SEK,Lunch,-80.5
Egypten (2018),SEK,Dinner,-80.5
Egypten (2019),SEK,Normalbelopp,233
Egypten (2019),SEK,Breakfast,-34.95
Egypten (2019),SEK,Lunch,-81.55
Egypten (2019),SEK,Dinner,-81.55
Egypten (2020),SEK,Normalbelopp,302
Egypten (2020),SEK,Breakfast,-45.3
Egypten (2020),SEK,Lunch,-105.7
Egypten (2020),SEK,Dinner,-105.7
El Salvador (2018),SEK,Normalbelopp,405
El Salvador (2018),SEK,Breakfast,-60.75
El Salvador (2018),SEK,Lunch,-141.75
El Salvador (2018),SEK,Dinner,-141.75
El Salvador (2019),SEK,Normalbelopp,449
El Salvador (2019),SEK,Breakfast,-67.35
El Salvador (2019),SEK,Lunch,-157.15
El Salvador (2019),SEK,Dinner,-157.15
El Salvador (2020),SEK,Normalbelopp,484
El Salvador (2020),SEK,Breakfast,-72.6
El Salvador (2020),SEK,Lunch,-169.4
El Salvador (2020),SEK,Dinner,-169.4
Elfenbenskusten (2018),SEK,Normalbelopp,512
Elfenbenskusten (2018),SEK,Breakfast,-76.8
Elfenbenskusten (2018),SEK,Lunch,-179.2
Elfenbenskusten (2018),SEK,Dinner,-179.2
Elfenbenskusten (2019),SEK,Normalbelopp,562
Elfenbenskusten (2019),SEK,Breakfast,-84.3
Elfenbenskusten (2019),SEK,Lunch,-196.7
Elfenbenskusten (2019),SEK,Dinner,-196.7
Elfenbenskusten (2020),SEK,Normalbelopp,608
Elfenbenskusten (2020),SEK,Breakfast,-91.2
Elfenbenskusten (2020),SEK,Lunch,-212.8
Elfenbenskusten (2020),SEK,Dinner,-212.8
Eritrea (2018),SEK,Normalbelopp,471
Eritrea (2018),SEK,Breakfast,-70.65
Eritrea (2018),SEK,Lunch,-164.85
Eritrea (2018),SEK,Dinner,-164.85
Eritrea (2019),SEK,Normalbelopp,515
Eritrea (2019),SEK,Breakfast,-77.25
Eritrea (2019),SEK,Lunch,-180.25
Eritrea (2019),SEK,Dinner,-180.25
Eritrea (2020),SEK,Normalbelopp,468
Eritrea (2020),SEK,Breakfast,-70.2
Eritrea (2020),SEK,Lunch,-163.8
Eritrea (2020),SEK,Dinner,-163.8
Estland (2018),SEK,Normalbelopp,459
Estland (2018),SEK,Breakfast,-68.85
Estland (2018),SEK,Lunch,-160.65
Estland (2018),SEK,Dinner,-160.65
Estland (2019),SEK,Normalbelopp,491
Estland (2019),SEK,Breakfast,-73.65
Estland (2019),SEK,Lunch,-171.85
Estland (2019),SEK,Dinner,-171.85
Estland (2020),SEK,Normalbelopp,506
Estland (2020),SEK,Breakfast,-75.9
Estland (2020),SEK,Lunch,-177.1
Estland (2020),SEK,Dinner,-177.1
Etiopien (2018),SEK,Normalbelopp,230
Etiopien (2018),SEK,Breakfast,-34.5
Etiopien (2018),SEK,Lunch,-80.5
Etiopien (2018),SEK,Dinner,-80.5
Etiopien (2019),SEK,Normalbelopp,265
Etiopien (2019),SEK,Breakfast,-39.75
Etiopien (2019),SEK,Lunch,-92.75
Etiopien (2019),SEK,Dinner,-92.75
Etiopien (2020),SEK,Normalbelopp,266
Etiopien (2020),SEK,Breakfast,-39.9
Etiopien (2020),SEK,Lunch,-93.1
Etiopien (2020),SEK,Dinner,-93.1
Filippinerna (2018),SEK,Normalbelopp,357
Filippinerna (2018),SEK,Breakfast,-53.55
Filippinerna (2018),SEK,Lunch,-124.95
Filippinerna (2018),SEK,Dinner,-124.95
Filippinerna (2019),SEK,Normalbelopp,384
Filippinerna (2019),SEK,Breakfast,-57.6
Filippinerna (2019),SEK,Lunch,-134.4
Filippinerna (2019),SEK,Dinner,-134.4
Filippinerna (2020),SEK,Normalbelopp,441
Filippinerna (2020),SEK,Breakfast,-66.15
Filippinerna (2020),SEK,Lunch,-154.35
Filippinerna (2020),SEK,Dinner,-154.35
Finland (2018),SEK,Normalbelopp,680
Finland (2018),SEK,Breakfast,-102
Finland (2018),SEK,Lunch,-238
Finland (2018),SEK,Dinner,-238
Finland (2019),SEK,Normalbelopp,729
Finland (2019),SEK,Breakfast,-109.35
Finland (2019),SEK,Lunch,-255.15
Finland (2019),SEK,Dinner,-255.15
Finland (2020),SEK,Normalbelopp,759
Finland (2020),SEK,Breakfast,-113.85
Finland (2020),SEK,Lunch,-265.65
Finland (2020),SEK,Dinner,-265.65
Förenade Arabemiraten (2018),SEK,Normalbelopp,703
Förenade Arabemiraten (2018),SEK,Breakfast,-105.45
Förenade Arabemiraten (2018),SEK,Lunch,-246.05
Förenade Arabemiraten (2018),SEK,Dinner,-246.05
Förenade Arabemiraten (2019),SEK,Normalbelopp,849
Förenade Arabemiraten (2019),SEK,Breakfast,-127.35
Förenade Arabemiraten (2019),SEK,Lunch,-297.15
Förenade Arabemiraten (2019),SEK,Dinner,-297.15
Förenade Arabemiraten (2020),SEK,Normalbelopp,899
Förenade Arabemiraten (2020),SEK,Breakfast,-134.85
Förenade Arabemiraten (2020),SEK,Lunch,-314.65
Förenade Arabemiraten (2020),SEK,Dinner,-314.65
Frankrike (2018),SEK,Normalbelopp,714
Frankrike (2018),SEK,Breakfast,-107.1
Frankrike (2018),SEK,Lunch,-249.9
Frankrike (2018),SEK,Dinner,-249.9
Frankrike (2019),SEK,Normalbelopp,760
Frankrike (2019),SEK,Breakfast,-114
Frankrike (2019),SEK,Lunch,-266
Frankrike (2019),SEK,Dinner,-266
Frankrike (2020),SEK,Normalbelopp,794
Frankrike (2020),SEK,Breakfast,-119.1
Frankrike (2020),SEK,Lunch,-277.9
Frankrike (2020),SEK,Dinner,-277.9
Gabon (2018),SEK,Normalbelopp,708
Gabon (2018),SEK,Breakfast,-106.2
Gabon (2018),SEK,Lunch,-247.8
Gabon (2018),SEK,Dinner,-247.8
Gabon (2019),SEK,Normalbelopp,742
Gabon (2019),SEK,Breakfast,-111.3
Gabon (2019),SEK,Lunch,-259.7
Gabon (2019),SEK,Dinner,-259.7
Gabon (2020),SEK,Normalbelopp,751
Gabon (2020),SEK,Breakfast,-112.65
Gabon (2020),SEK,Lunch,-262.85
Gabon (2020),SEK,Dinner,-262.85
Gambia (2018),SEK,Normalbelopp,237
Gambia (2018),SEK,Breakfast,-35.55
Gambia (2018),SEK,Lunch,-82.95
Gambia (2018),SEK,Dinner,-82.95
Gambia (2019),SEK,Normalbelopp,244
Gambia (2019),SEK,Breakfast,-36.6
Gambia (2019),SEK,Lunch,-85.4
Gambia (2019),SEK,Dinner,-85.4
Gambia (2020),SEK,Normalbelopp,260
Gambia (2020),SEK,Breakfast,-39
Gambia (2020),SEK,Lunch,-91
Gambia (2020),SEK,Dinner,-91
Georgien (2018),SEK,Normalbelopp,230
Georgien (2018),SEK,Breakfast,-34.5
Georgien (2018),SEK,Lunch,-80.5
Georgien (2018),SEK,Dinner,-80.5
Georgien (2019),SEK,Normalbelopp,235
Georgien (2019),SEK,Breakfast,-35.25
Georgien (2019),SEK,Lunch,-82.25
Georgien (2019),SEK,Dinner,-82.25
Georgien (2020),SEK,Normalbelopp,240
Georgien (2020),SEK,Breakfast,-36
Georgien (2020),SEK,Lunch,-84
Georgien (2020),SEK,Dinner,-84
Ghana (2018),SEK,Normalbelopp,404
Ghana (2018),SEK,Breakfast,-60.6
Ghana (2018),SEK,Lunch,-141.4
Ghana (2018),SEK,Dinner,-141.4
Ghana (2019),SEK,Normalbelopp,407
Ghana (2019),SEK,Breakfast,-61.05
Ghana (2019),SEK,Lunch,-142.45
Ghana (2019),SEK,Dinner,-142.45
Ghana (2020),SEK,Normalbelopp,372
Ghana (2020),SEK,Breakfast,-55.8
Ghana (2020),SEK,Lunch,-130.2
Ghana (2020),SEK,Dinner,-130.2
Grekland (2018),SEK,Normalbelopp,589
Grekland (2018),SEK,Breakfast,-88.35
Grekland (2018),SEK,Lunch,-206.15
Grekland (2018),SEK,Dinner,-206.15
Grekland (2019),SEK,Normalbelopp,625
Grekland (2019),SEK,Breakfast,-93.75
Grekland (2019),SEK,Lunch,-218.75
Grekland (2019),SEK,Dinner,-218.75
Grekland (2020),SEK,Normalbelopp,650
Grekland (2020),SEK,Breakfast,-97.5
Grekland (2020),SEK,Lunch,-227.5
Grekland (2020),SEK,Dinner,-227.5
Grenada (2018),SEK,Normalbelopp,477
Grenada (2018),SEK,Breakfast,-71.55
Grenada (2018),SEK,Lunch,-166.95
Grenada (2018),SEK,Dinner,-166.95
Grenada (2019),SEK,Normalbelopp,550
Grenada (2019),SEK,Breakfast,-82.5
Grenada (2019),SEK,Lunch,-192.5
Grenada (2019),SEK,Dinner,-192.5
Grenada (2020),SEK,Normalbelopp,581
Grenada (2020),SEK,Breakfast,-87.15
Grenada (2020),SEK,Lunch,-203.35
Grenada (2020),SEK,Dinner,-203.35
Grönland (2018),SEK,Normalbelopp,915
Grönland (2018),SEK,Breakfast,-137.25
Grönland (2018),SEK,Lunch,-320.25
Grönland (2018),SEK,Dinner,-320.25
Grönland (2019),SEK,Normalbelopp,993
Grönland (2019),SEK,Breakfast,-148.95
Grönland (2019),SEK,Lunch,-347.55
Grönland (2019),SEK,Dinner,-347.55
Grönland (2020),SEK,Normalbelopp,1016
Grönland (2020),SEK,Breakfast,-152.4
Grönland (2020),SEK,Lunch,-355.6
Grönland (2020),SEK,Dinner,-355.6
Guinea (2018),SEK,Normalbelopp,400
Guinea (2018),SEK,Breakfast,-60
Guinea (2018),SEK,Lunch,-140
Guinea (2018),SEK,Dinner,-140
Guinea (2019),SEK,Normalbelopp,444
Guinea (2019),SEK,Breakfast,-66.6
Guinea (2019),SEK,Lunch,-155.4
Guinea (2019),SEK,Dinner,-155.4
Guinea (2020),SEK,Normalbelopp,475
Guinea (2020),SEK,Breakfast,-71.25
Guinea (2020),SEK,Lunch,-166.25
Guinea (2020),SEK,Dinner,-166.25
Guyana (2018),SEK,Normalbelopp,494
Guyana (2018),SEK,Breakfast,-74.1
Guyana (2018),SEK,Lunch,-172.9
Guyana (2018),SEK,Dinner,-172.9
Guyana (2019),SEK,Normalbelopp,518
Guyana (2019),SEK,Breakfast,-77.7
Guyana (2019),SEK,Lunch,-181.3
Guyana (2019),SEK,Dinner,-181.3
Guyana (2020),SEK,Normalbelopp,548
Guyana (2020),SEK,Breakfast,-82.2
Guyana (2020),SEK,Lunch,-191.8
